date;doy;time;temp;pressure;humidity;pmy1;pmy2;pmy3;pmy4;pmy5;X;Y;Z;B;L
2021-10-06;255;00:00:00;30,00;100273;68;0;0;0;9999;9999;0;0;0;51.1146481664395;17.0711846678134
2021-10-06;255;00:00:01;36,00;100267;64;12;26;26;18;26;0;0;0;51.1146158091862;17.071067310644
2021-10-06;255;00:00:02;37,00;100268;62;18;34;34;24;35;0;0;0;51.114583451932894;17.0709499534747
2021-10-06;255;00:00:03;22,00;100265;60;15;26;28;19;30;0;0;0;51.1145510946797;17.0708325963053
2021-10-06;255;00:00:04;20,00;100270;59;16;25;28;18;30;0;0;0;51.114518737426394;17.070715239136
2021-10-06;255;00:00:05;28,00;100264;57;16;27;29;20;32;0;0;0;51.114486380173105;17.070597881966698
2021-10-06;255;00:00:06;25,00;100265;56;16;28;32;21;36;0;0;0;51.1144540229198;17.0704805247973
2021-10-06;255;00:00:07;36,00;100263;55;16;28;29;21;33;0;0;0;51.114421665666505;17.070363167628
2021-10-06;255;00:00:08;22,00;100258;56;16;27;29;20;32;0;0;0;51.114389308413294;17.0702458104586
2021-10-06;255;00:00:09;22,00;100261;56;16;27;28;20;31;0;0;0;51.114356951160005;17.0701284532893
2021-10-06;255;00:00:10;20,00;100261;54;16;27;28;20;32;0;0;0;51.11432459390671;17.070011096120002
2021-10-06;255;00:00:11;31,00;100263;54;16;27;28;20;32;0;0;0;51.1142922366534;17.0698937389506
2021-10-06;255;00:00:12;22,00;100264;56;16;27;28;20;31;0;0;0;51.11425987940021;17.069776381781303
2021-10-06;255;00:00:13;31,00;100261;55;18;28;29;21;33;0;0;0;51.114227522146905;17.0696590246119
2021-10-06;255;00:00:14;30,00;100261;54;50;42;60;40;48;0;0;0;51.1141951648936;17.0695416674426
2021-10-06;255;00:00:15;29,00;100261;50;44;55;51;56;58;0;0;0;51.1141628076403;17.069424310273302
2021-10-06;255;00:00:16;35,00;100263;41;51;58;58;57;48;0;0;0;51.11413045038711;17.0693069531039
2021-10-06;255;00:00:17;39,00;100264;40;53;49;58;45;52;0;0;0;51.11409809313379;17.0691895959346
2021-10-06;255;00:00:18;34,00;100261;57;55;60;44;60;42;0;0;0;51.1140657358805;17.0690722387653
2021-10-06;255;00:00:19;27,00;100261;50;50;42;49;60;43;0;0;0;51.114033378627205;17.0689548815959
2021-10-06;255;00:00:20;29,00;100261;50;60;59;60;51;57;0;0;0;51.1140010213739;17.0688375244266
2021-10-06;255;00:00:21;20,00;100263;43;51;60;53;48;56;0;0;0;51.113968664120705;17.0687201672572
2021-10-06;255;00:00:22;38,00;100264;55;56;51;42;48;50;0;0;0;51.1139363068674;17.0686028100879
2021-10-06;255;00:00:23;26,00;100261;49;43;55;51;57;48;0;0;0;51.113903949614105;17.068485452918598
2021-10-06;255;00:00:24;23,00;100273;57;52;44;45;51;43;0;0;0;51.113871592360795;17.0683680957492
2021-10-06;255;00:00:25;29,00;100267;43;40;47;51;49;54;0;0;0;51.113839235107605;17.0682507385799
2021-10-06;255;00:00:26;24,00;100268;44;55;56;55;58;48;0;0;0;51.1138068778543;17.0681333814105
2021-10-06;255;00:00:27;40,00;100265;49;43;45;55;42;60;0;0;0;51.113774520601;17.0680160242412
2021-10-06;255;00:00:28;36,00;100270;40;53;60;41;52;58;0;0;0;51.1137421633477;17.0678986670719
